  0,     42.252
  1,     42.510
  2,     42.114
  3,     42.508
  4,     42.499
  5,     42.522
  6,     42.469
  7,     42.477
  8,     44.520
  9,     45.060
 10,     45.040
 11,     45.001
 12,     45.032
 13,     44.994
 14,     44.319
 15,     44.047
 16,     43.022
 17,     42.509
 18,     42.539
 19,     42.512
 20,     42.961
 21,     44.260
 22,     44.276
 23,     44.287
 24,     44.277
 25,     44.281
 26,     44.169
 27,     44.277
 28,     44.253
 29,     44.277
 30,     44.261
 31,     45.604
 32,     45.807
