  0,     44.641
  1,     45.485
  2,     39.252
  3,     44.925
  4,     45.512
  5,     45.173
  6,     42.090
  7,     46.248
  8,     46.298
  9,     44.985
 10,     45.673
 11,     45.495
 12,     45.770
 13,     46.206
 14,     45.692
 15,     45.834
 16,     46.462
 17,     46.259
 18,     46.077
 19,     46.487
 20,     46.900
 21,     46.892
 22,     46.869
 23,     46.028
 24,     46.444
 25,     46.917
 26,     46.884
 27,     46.898
 28,     46.888
 29,     46.888
 30,     46.918
 31,     46.904
 32,     46.498
