  0,     34.521
  1,     36.407
  2,     37.651
  3,     37.594
  4,     37.573
  5,     37.619
  6,     37.542
  7,     37.424
  8,     37.620
  9,     37.551
 10,     37.308
 11,     37.853
 12,     37.557
 13,     37.366
 14,     37.459
 15,     37.551
 16,     37.600
 17,     37.399
 18,     37.683
 19,     37.115
 20,     37.528
 21,     37.815
 22,     37.550
 23,     37.573
 24,     37.818
 25,     37.899
 26,     37.729
 27,     37.532
 28,     37.556
 29,     37.690
 30,     37.675
 31,     37.862
 32,     37.551
