  0,     44.800
  1,     44.308
  2,     44.729
  3,     41.236
  4,     41.403
  5,     45.588
  6,     46.111
  7,     43.047
  8,     46.664
  9,     46.661
 10,     45.684
 11,     47.048
 12,     47.048
 13,     47.036
 14,     47.021
 15,     45.740
 16,     46.662
 17,     47.501
 18,     46.319
 19,     47.470
 20,     47.503
 21,     47.092
 22,     46.302
 23,     45.683
 24,     46.888
 25,     47.089
 26,     46.251
 27,     46.691
 28,     46.867
 29,     46.633
 30,     46.451
 31,     46.856
 32,     46.879
