  0,     36.131
  1,     36.442
  2,     37.133
  3,     37.503
  4,     37.720
  5,     37.450
  6,     35.952
  7,     37.437
  8,     37.509
  9,     37.865
 10,     37.780
 11,     37.330
 12,     37.789
 13,     37.744
 14,     37.115
 15,     37.195
 16,     37.285
 17,     35.419
 18,     37.252
 19,     37.081
 20,     37.352
 21,     37.098
 22,     37.392
 23,     37.825
 24,     37.787
 25,     37.238
 26,     26.569
 27,     32.624
 28,     37.579
 29,     37.623
 30,     37.609
 31,     36.980
 32,     37.505
