  0, 3.871
  1, 3.966
  2, 3.979
  3, 4.006
  4, 4.004
  5, 4.032
  6, 4.028
  7, 4.014
  8, 4.016
  9, 4.033
 10, 4.035
 11, 4.031
 12, 4.002
 13, 3.946
 14, 4.022
 15, 3.976
 16, 3.981
 17, 4.020
 18, 4.008
 19, 2.786
 20, 3.953
 21, 4.032
 22, 4.042
 23, 4.025
 24, 4.002
 25, 4.019
 26, 3.968
 27, 4.014
 28, 4.014
 29, 4.034
 30, 4.014
 31, 4.011
 32, 3.940
